carat,cut,color,clarity,depth,table,price,x,y,z
1.03,Ideal,D,IF,62,56,17590,6.55,6.44,4.03
2.53,Premium,H,SI2,59.6,59,17591,8.9,8.82,5.29
2.01,Premium,I,VS2,61.1,60,17592,8.12,8.06,4.94
1.71,Ideal,G,VS1,62.2,55,17595,7.72,7.65,4.78
1.7,Very Good,F,VS2,60.8,60,17597,7.65,7.68,4.66
1.7,Good,F,VS2,62.2,56,17597,7.54,7.6,4.71
1.38,Very Good,F,IF,58.2,60,17598,7.32,7.39,4.28
2,Good,H,SI1,63.3,59,17600,7.96,8.03,5.06
1.64,Ideal,G,VVS2,61.8,56,17604,7.59,7.6,4.69
1.72,Premium,G,VS1,59.4,60,17605,7.82,7.86,4.66
2.1,Premium,J,VVS1,61.3,58,17606,8.29,8.24,5.07
2,Ideal,I,VS1,62,57,17607,8.04,7.99,4.97
2.48,Premium,I,SI2,63,62,17607,8.62,8.58,5.42
2.52,Good,G,SI2,63.7,59,17608,8.57,8.52,5.44
2.01,Ideal,G,SI2,60.9,55,17609,8.16,8.19,4.98
1.74,Premium,G,VS2,61,58,17614,7.77,7.75,4.73
2.07,Ideal,G,SI2,62.2,54,17614,8.16,8.21,5.09
2.08,Premium,H,SI1,62.6,59,17617,8.1,8.13,5.08
2.2,Premium,H,SI2,62.7,58,17634,8.33,8.27,5.2
2.05,Premium,I,VS1,60.6,60,17640,8.21,8.18,4.97
2.39,Premium,I,VS1,61.2,60,17642,8.63,8.6,5.27
1.51,Ideal,E,VS1,62.2,57,17649,7.37,7.32,4.57
2.06,Premium,G,SI2,62.7,58,17650,8.12,8.09,5.08
2.02,Very Good,F,SI1,60.1,60,17658,8.21,8.29,4.96
1.52,Ideal,D,VS1,61.2,57,17659,7.4,7.46,4.55
1.7,Ideal,F,VS2,61.3,54,17662,7.72,7.67,4.72
1.34,Premium,E,IF,61.8,58,17663,7.15,7.08,4.4
2.29,Premium,H,SI2,62.5,58,17666,8.43,8.37,5.25
1.5,Premium,E,VVS2,58.7,61,17667,7.49,7.36,4.36
2.02,Very Good,H,SI1,63.4,60,17672,7.96,8.04,5.07
2.28,Premium,I,SI1,61.6,58,17673,8.43,8.46,5.2
2.14,Premium,G,SI2,60.4,59,17673,8.38,8.32,5.04
2,Premium,D,SI2,61.6,59,17674,8.09,8.2,5.02
2.01,Very Good,E,SI1,62.7,57,17676,8.03,8.11,5.06
2.32,Ideal,I,SI2,62,57,17676,8.49,8.45,5.25
1.71,Very Good,F,VS1,61.9,61,17685,7.61,7.67,4.73
